open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1501.2275934152,1507.2979325944,1493.076254727,1493.9577261347,1905557,600519.SH,2024-06-05,贵州茅台,NA,CNY
1493.6487567753,1501.2185060811,1486.6060728474,1490.1501331466,2561005,600519.SH,2024-06-06,贵州茅台,NA,CNY
1495.8933282982,1495.9387649687,1471.2484782174,1471.4029628971,3352455,600519.SH,2024-06-07,贵州茅台,NA,CNY
1456.6905689883,1458.5171231425,1423.9852535603,1425.8027203804,7024676,600519.SH,2024-06-11,贵州茅台,NA,CNY
1426.7114537905,1444.8861219916,1426.7114537905,1428.2381259194,3317050,600519.SH,2024-06-12,贵州茅台,NA,CNY
1432.8635789766,1432.9726269858,1411.399295831,1413.0895399737,3618597,600519.SH,2024-06-13,贵州茅台,NA,CNY
1413.0804526396,1421.2227039937,1381.6928006562,1413.0804526396,5951416,600519.SH,2024-06-14,贵州茅台,NA,CNY
1392.4431168972,1407.419043495,1373.1052699312,1400.8125516038,4831816,600519.SH,2024-06-17,贵州茅台,NA,CNY
1391.1708901231,1412.662435271,1378.2577883662,1382.6378834027,4125825,600519.SH,2024-06-18,贵州茅台,NA,CNY
1389.4702641031,1395.0448782776,1374.7313923505,1392.2622089725,4126153,600519.SH,2024-06-19,贵州茅台,NA,CNY
1391.3346525375,1406.1848310622,1389.4795396674,1391.427408181,2471068,600519.SH,2024-06-20,贵州茅台,NA,CNY
1391.798430755,1395.9538835839,1363.7120219024,1364.4355159218,4331997,600519.SH,2024-06-21,贵州茅台,NA,CNY
1319.9128070406,1381.1222561878,1311.5740746897,1369.5834541361,6383993,600519.SH,2024-06-24,贵州茅台,NA,CNY
1370.0008545319,1394.1080462782,1370.0008545319,1378.9517741299,4209795,600519.SH,2024-06-25,贵州茅台,NA,CNY
1372.783523837,1392.327137923,1370.7428996799,1381.3355941679,2956977,600519.SH,2024-06-26,贵州茅台,NA,CNY
1383.9142010573,1385.7414872343,1361.6528466167,1382.5135908404,3282178,600519.SH,2024-06-27,贵州茅台,NA,CNY
1372.783523837,1386.2238165805,1357.9426208766,1361.0870371913,3858202,600519.SH,2024-06-28,贵州茅台,NA,CNY
1362.4690962795,1366.2813532274,1324.5505892157,1336.0337378813,3216138,600519.SH,2024-07-01,贵州茅台,NA,CNY
1329.1883713908,1389.4795396674,1329.1883713908,1382.7083776917,5185298,600519.SH,2024-07-02,贵州茅台,NA,CNY
1390.4070961024,1403.4021617571,1380.2225264459,1391.3346525375,3157326,600519.SH,2024-07-03,贵州茅台,NA,CNY
1395.9724347126,1402.4653297578,1373.8316626086,1378.107697774,2437973,600519.SH,2024-07-04,贵州茅台,NA,CNY
1371.855967402,1385.0087176506,1344.9568307862,1347.7395000913,3882938,600519.SH,2024-07-05,贵州茅台,NA,CNY
1338.4639357411,1352.1639442864,1316.3324392014,1317.1301377355,3952705,600519.SH,2024-07-08,贵州茅台,NA,CNY
1317.1301377355,1349.4925817535,1307.9473290287,1333.853980259,3362071,600519.SH,2024-07-09,贵州茅台,NA,CNY
1334.9855991097,1359.6864269744,1331.0434842609,1333.4458554276,2376322,600519.SH,2024-07-10,贵州茅台,NA,CNY
1344.9290040932,1362.5804030517,1335.8760532873,1356.1709880857,2902014,600519.SH,2024-07-11,贵州茅台,NA,CNY
1366.2999043562,1378.7198850211,1359.2875777074,1371.6890072436,2338634,600519.SH,2024-07-12,贵州茅台,NA,CNY
1363.5079594867,1380.2039753172,1363.5079594867,1368.0529860183,1917626,600519.SH,2024-07-15,贵州茅台,NA,CNY
1369.0732980969,1374.638636707,1358.9165551334,1369.0732980969,2031644,600519.SH,2024-07-16,贵州茅台,NA,CNY
1369.1660537404,1394.1173218425,1363.5265106154,1392.6332315465,3431101,600519.SH,2024-07-17,贵州茅台,NA,CNY
1390.87087432,1405.2479990628,1384.4058059678,1389.0250370143,2887039,600519.SH,2024-07-18,贵州茅台,NA,CNY
1382.8104088996,1418.4007493115,1376.5030251414,1415.0986484028,3894291,600519.SH,2024-07-19,贵州茅台,NA,CNY
1414.5513901062,1419.1427944595,1383.589556305,1390.4070961024,2854321,600519.SH,2024-07-22,贵州茅台,NA,CNY
1390.4070961024,1392.2622089725,1349.5946129614,1349.5946129614,3094396,600519.SH,2024-07-23,贵州茅台,NA,CNY
1345.1423420732,1357.6643539461,1331.0434842609,1335.6998175647,2412255,600519.SH,2024-07-24,贵州茅台,NA,CNY
1335.6998175647,1343.1017179162,1317.1394132998,1326.8602047389,2834656,600519.SH,2024-07-25,贵州茅台,NA,CNY
1326.8602047389,1333.5664377641,1308.6893741767,1319.1614863282,3235379,600519.SH,2024-07-26,贵州茅台,NA,CNY
1312.4923555604,1318.9759750412,1296.7238961649,1296.7424472936,3086907,600519.SH,2024-07-29,贵州茅台,NA,CNY
1285.5746678159,1289.5538849222,1262.6825749995,1280.0186047701,5177904,600519.SH,2024-07-30,贵州茅台,NA,CNY
1273.6277409328,1323.8734730181,1273.6277409328,1318.3174099723,4327232,600519.SH,2024-07-31,贵州茅台,NA,CNY
1315.2750248654,1317.1301377355,1284.3873955791,1285.7416279742,3203810,600519.SH,2024-08-01,贵州茅台,NA,CNY
1274.0915191503,1295.7685130369,1274.0915191503,1285.0830629054,2192769,600519.SH,2024-08-02,贵州茅台,NA,CNY
1288.2645814775,1322.6954763456,1285.1479918558,1307.8638489496,3773607,600519.SH,2024-08-05,贵州茅台,NA,CNY
1318.9852506055,1320.8403634756,1293.0229459892,1302.9385242796,2744433,600519.SH,2024-08-06,贵州茅台,NA,CNY
1303.6805694276,1318.9759750412,1297.0021630954,1312.9561337779,2062221,600519.SH,2024-08-07,贵州茅台,NA,CNY
1308.7821298203,1343.2686780745,1306.9270169502,1327.0457160259,2513082,600519.SH,2024-08-08,贵州茅台,NA,CNY
1354.2602218295,1362.5804030517,1332.7130858439,1332.7130858439,3013849,600519.SH,2024-08-09,贵州茅台,NA,CNY
1326.4057020857,1338.4639357411,1323.2334590779,1332.0637963394,1363203,600519.SH,2024-08-12,贵州茅台,NA,CNY
1329.1883713908,1331.0434842609,1309.7189618196,1319.9220826049,1630843,600519.SH,2024-08-13,贵州茅台,NA,CNY
1319.9220826049,1321.6751642671,1309.728237384,1310.9155096208,1341431,600519.SH,2024-08-14,贵州茅台,NA,CNY
1303.2446179032,1331.9617651315,1302.2428569533,1323.5210015728,2303897,600519.SH,2024-08-15,贵州茅台,NA,CNY
1323.4282459293,1331.8968361811,1314.3567439948,1327.5187698078,1645470,600519.SH,2024-08-16,贵州茅台,NA,CNY
1328.2608149558,1353.1935319292,1321.7679199106,1322.176044742,2043279,600519.SH,2024-08-19,贵州茅台,NA,CNY
1326.3129464422,1326.3407731353,1311.5647991253,1319.6530912387,1859138,600519.SH,2024-08-20,贵州茅台,NA,CNY
1317.1301377355,1324.532038087,1313.1323695005,1314.8854511627,1509165,600519.SH,2024-08-21,贵州茅台,NA,CNY
1313.4199119954,1317.1301377355,1298.5882845993,1307.900951207,1952729,600519.SH,2024-08-22,贵州茅台,NA,CNY
